,$$n_i$$,signals,M
0,6,1,2000
1,16,1,2000
2,7,0,2000
3,0,0,2000
4,1,0,2000
5,0,0,2000
6,0,0,2000
7,0,0,2000
8,7,1,2000
9,2,0,2000
10,10,1,2000
11,5,1,2000
12,16,1,2000
13,4,0,2000
14,6,1,2000
15,2,0,2000
16,0,0,2000
17,0,0,2000
18,9,1,2000
19,12,1,2000
20,12,1,2000
21,8,1,2000
22,4,0,2000
23,2,0,2000
24,12,1,2000
25,14,1,2000
26,6,1,2000
27,15,1,2000
28,11,1,2000
29,19,1,2000
30,11,1,2000
31,6,0,2000
32,17,1,2000
33,8,1,2000
34,3,0,2000
35,1,0,2000
36,8,1,2000
37,5,0,2000
38,12,1,2000
39,4,0,2000
40,8,1,2000
41,7,1,2000
42,16,1,2000
43,18,1,2000
44,16,1,2000
45,10,1,2000
46,13,1,2000
47,7,0,2000
48,2,0,2000
49,1,0,2000
50,3,1,2000
51,4,0,2000
52,1,0,2000
53,1,0,2000
54,0,0,2000
55,0,0,2000
56,10,1,2000
57,11,1,2000
58,3,0,2000
59,2,0,2000
60,1,0,2000
61,8,1,2000
62,9,1,2000
63,13,1,2000
64,4,0,2000
65,11,1,2000
66,4,0,2000
67,2,0,2000
68,12,1,2000
69,12,1,2000
70,3,0,2000
71,9,1,2000
72,4,0,2000
73,2,0,2000
74,9,1,2000
75,4,0,2000
76,2,0,2000
77,0,0,2000
78,0,0,2000
79,0,0,2000
80,11,1,2000
81,9,1,2000
82,6,0,2000
83,11,1,2000
84,11,1,2000
85,5,0,2000
86,1,0,2000
87,2,0,2000
88,0,0,2000
89,8,1,2000
90,15,1,2000
91,5,0,2000
92,4,0,2000
93,9,1,2000
94,3,0,2000
95,2,0,2000
96,10,1,2000
97,15,1,2000
98,10,1,2000
99,11,1,2000
100,14,1,4000
101,22,1,4000
102,10,0,4000
103,6,0,4000
104,2,0,4000
105,0,0,4000
106,0,0,4000
107,0,0,4000
108,16,1,4000
109,7,0,4000
110,15,1,4000
111,29,1,4000
112,29,1,4000
113,16,0,4000
114,18,1,4000
115,13,0,4000
116,2,0,4000
117,1,0,4000
118,20,1,4000
119,24,1,4000
120,24,1,4000
121,38,1,4000
122,16,0,4000
123,4,0,4000
124,16,1,4000
125,24,1,4000
126,33,1,4000
127,25,1,4000
128,30,1,4000
129,14,1,4000
130,37,1,4000
131,10,0,4000
132,22,1,4000
133,25,1,4000
134,8,0,4000
135,2,0,4000
136,16,1,4000
137,7,0,4000
138,18,1,4000
139,10,0,4000
140,20,1,4000
141,18,1,4000
142,36,1,4000
143,29,1,4000
144,29,1,4000
145,27,1,4000
146,24,1,4000
147,10,0,4000
148,7,0,4000
149,2,0,4000
150,8,1,4000
151,6,0,4000
152,2,0,4000
153,0,0,4000
154,0,0,4000
155,0,0,4000
156,23,1,4000
157,22,1,4000
158,10,0,4000
159,0,0,4000
160,4,0,4000
161,19,1,4000
162,32,1,4000
163,28,1,4000
164,15,0,4000
165,23,1,4000
166,4,0,4000
167,4,0,4000
168,14,1,4000
169,14,1,4000
170,10,0,4000
171,11,1,4000
172,6,0,4000
173,2,0,4000
174,15,1,4000
175,6,0,4000
176,2,0,4000
177,1,0,4000
178,2,0,4000
179,0,0,4000
180,17,1,4000
181,20,1,4000
182,17,0,4000
183,19,1,4000
184,23,1,4000
185,9,0,4000
186,9,0,4000
187,2,0,4000
188,1,0,4000
189,9,1,4000
190,24,1,4000
191,14,0,4000
192,3,0,4000
193,13,1,4000
194,12,0,4000
195,4,0,4000
196,13,1,4000
197,23,1,4000
198,29,1,4000
199,32,1,4000
200,19,1,6000
201,28,1,6000
202,13,0,6000
203,6,0,6000
204,3,0,6000
205,1,0,6000
206,1,0,6000
207,0,0,6000
208,24,1,6000
209,17,0,6000
210,28,1,6000
211,43,1,6000
212,45,1,6000
213,18,0,6000
214,36,1,6000
215,10,0,6000
216,5,0,6000
217,0,0,6000
218,27,1,6000
219,34,1,6000
220,42,1,6000
221,44,1,6000
222,11,0,6000
223,8,0,6000
224,27,1,6000
225,21,1,6000
226,44,1,6000
227,36,1,6000
228,37,1,6000
229,53,1,6000
230,44,1,6000
231,14,0,6000
232,34,1,6000
233,40,1,6000
234,16,0,6000
235,5,0,6000
236,26,1,6000
237,14,0,6000
238,32,1,6000
239,9,0,6000
240,24,1,6000
241,27,1,6000
242,31,1,6000
243,41,1,6000
244,47,1,6000
245,39,1,6000
246,44,1,6000
247,17,0,6000
248,7,0,6000
249,3,0,6000
250,24,1,6000
251,7,0,6000
252,4,0,6000
253,2,0,6000
254,1,0,6000
255,0,0,6000
256,26,1,6000
257,33,1,6000
258,11,0,6000
259,5,0,6000
260,4,0,6000
261,40,1,6000
262,26,1,6000
263,38,1,6000
264,19,0,6000
265,32,1,6000
266,12,0,6000
267,3,0,6000
268,22,1,6000
269,30,1,6000
270,17,0,6000
271,30,1,6000
272,12,0,6000
273,8,0,6000
274,28,1,6000
275,15,0,6000
276,3,0,6000
277,1,0,6000
278,1,0,6000
279,0,0,6000
280,26,1,6000
281,32,1,6000
282,15,0,6000
283,26,1,6000
284,33,1,6000
285,14,0,6000
286,9,0,6000
287,2,0,6000
288,2,0,6000
289,26,1,6000
290,39,1,6000
291,17,0,6000
292,10,0,6000
293,28,1,6000
294,12,0,6000
295,4,0,6000
296,20,1,6000
297,36,1,6000
298,40,1,6000
299,31,1,6000
300,33,1,8000
301,55,1,8000
302,20,0,8000
303,4,0,8000
304,1,0,8000
305,2,0,8000
306,1,0,8000
307,0,0,8000
308,34,1,8000
309,9,0,8000
310,34,1,8000
311,39,1,8000
312,55,1,8000
313,22,0,8000
314,46,1,8000
315,15,0,8000
316,4,0,8000
317,3,0,8000
318,33,1,8000
319,43,1,8000
320,50,1,8000
321,48,1,8000
322,9,0,8000
323,7,0,8000
324,32,1,8000
325,44,1,8000
326,52,1,8000
327,50,1,8000
328,57,1,8000
329,55,1,8000
330,56,1,8000
331,23,0,8000
332,39,1,8000
333,51,1,8000
334,12,0,8000
335,7,0,8000
336,26,1,8000
337,14,0,8000
338,29,1,8000
339,19,0,8000
340,32,1,8000
341,42,1,8000
342,39,1,8000
343,53,1,8000
344,64,1,8000
345,75,1,8000
346,63,1,8000
347,21,0,8000
348,14,0,8000
349,3,0,8000
350,29,1,8000
351,12,0,8000
352,5,0,8000
353,1,0,8000
354,0,0,8000
355,0,0,8000
356,24,1,8000
357,39,1,8000
358,25,0,8000
359,6,0,8000
