,$$n_i$$,signals,v
0,14,1,20
1,9,0,20
2,11,1,20
3,19,1,20
4,8,0,20
5,15,1,20
6,17,1,20
7,11,0,20
8,5,0,20
9,16,1,20
10,7,0,20
11,2,0,20
12,16,1,20
13,8,0,20
14,20,1,20
15,24,1,20
16,28,1,20
17,16,0,20
18,18,1,20
19,15,1,20
20,14,0,20
21,22,1,20
22,23,1,20
23,12,0,20
24,8,0,20
25,4,0,20
26,1,0,20
27,0,0,20
28,1,0,20
29,8,1,20
30,18,1,20
31,22,1,20
32,11,0,20
33,8,0,20
34,11,1,20
35,24,1,20
36,25,1,20
37,8,0,20
38,16,1,20
39,20,1,20
40,26,1,20
41,13,0,20
42,4,0,20
43,1,0,20
44,14,1,20
45,7,0,20
46,13,1,20
47,16,1,20
48,21,0,20
49,14,1,20
50,17,1,30
51,9,0,30
52,21,1,30
53,27,1,30
54,9,0,30
55,18,1,30
56,26,1,30
57,11,0,30
58,2,0,30
59,20,1,30
60,5,0,30
61,1,0,30
62,18,1,30
63,9,0,30
64,19,1,30
65,25,1,30
66,22,1,30
67,13,0,30
68,18,1,30
69,23,1,30
70,10,0,30
71,17,1,30
72,32,1,30
73,14,0,30
74,5,0,30
75,3,0,30
76,1,0,30
77,0,0,30
78,0,0,30
79,13,1,30
80,32,1,30
81,20,1,30
82,9,0,30
83,4,0,30
84,21,1,30
85,26,1,30
86,27,1,30
87,12,0,30
88,18,1,30
89,14,1,30
90,22,1,30
91,12,0,30
92,10,0,30
93,1,0,30
94,17,1,30
95,5,0,30
96,17,1,30
97,25,1,30
98,10,0,30
99,24,1,30
100,27,1,40
101,2,0,40
102,21,1,40
103,25,1,40
104,10,0,40
105,19,1,40
106,15,1,40
107,10,0,40
108,0,0,40
109,13,1,40
110,4,0,40
111,3,0,40
112,23,1,40
113,5,0,40
114,23,1,40
115,26,1,40
116,19,1,40
117,9,0,40
118,22,1,40
119,28,1,40
120,11,0,40
121,12,1,40
122,20,1,40
123,7,0,40
124,2,0,40
125,3,0,40
126,0,0,40
127,0,0,40
128,0,0,40
129,17,1,40
130,18,1,40
131,19,1,40
132,8,0,40
133,3,0,40
134,18,1,40
135,21,1,40
136,24,1,40
137,7,0,40
138,21,1,40
139,26,1,40
140,19,1,40
141,7,0,40
142,1,0,40
143,1,0,40
144,24,1,40
145,6,0,40
146,20,1,40
147,29,1,40
148,7,0,40
149,21,1,40
150,20,1,50
151,2,0,50
152,26,1,50
153,18,1,50
154,2,0,50
155,19,1,50
156,20,1,50
157,2,0,50
158,1,0,50
159,10,1,50
160,0,0,50
161,0,0,50
162,23,1,50
163,0,0,50
164,25,1,50
165,21,1,50
166,14,1,50
167,4,0,50
168,23,1,50
169,25,1,50
170,6,0,50
171,23,1,50
172,17,1,50
173,3,0,50
174,0,0,50
175,1,0,50
176,0,0,50
177,0,0,50
178,0,0,50
179,28,1,50
180,21,1,50
181,20,1,50
182,7,0,50
183,0,0,50
184,17,1,50
185,21,1,50
186,22,1,50
187,2,0,50
188,20,1,50
189,23,1,50
190,22,1,50
191,4,0,50
192,0,0,50
193,0,0,50
194,22,1,50
195,5,0,50
196,23,1,50
197,16,1,50
198,4,0,50
199,15,1,50
