all_nhit,signals,sample_x,sample_y
0.0,1.0,199.0,27.0
0.0,0.0,399.0,3.0
0.0,0.0,599.0,0.0
0.0,1.0,799.0,15.0
0.0,1.0,999.0,30.0
0.0,1.0,1199.0,24.0
0.0,0.0,1399.0,5.0
0.0,1.0,1599.0,22.0
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
1.0,,,
0.0,,,
0.0,,,
1.0,,,
1.0,,,
3.0,,,
2.0,,,
2.0,,,
0.0,,,
1.0,,,
1.0,,,
1.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
2.0,,,
3.0,,,
4.0,,,
4.0,,,
4.0,,,
4.0,,,
3.0,,,
4.0,,,
1.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
6.0,,,
4.0,,,
5.0,,,
5.0,,,
6.0,,,
6.0,,,
9.0,,,
10.0,,,
10.0,,,
7.0,,,
10.0,,,
13.0,,,
13.0,,,
11.0,,,
11.0,,,
12.0,,,
18.0,,,
14.0,,,
20.0,,,
17.0,,,
15.0,,,
16.0,,,
18.0,,,
19.0,,,
20.0,,,
24.0,,,
22.0,,,
20.0,,,
22.0,,,
19.0,,,
20.0,,,
20.0,,,
22.0,,,
25.0,,,
22.0,,,
26.0,,,
26.0,,,
27.0,,,
25.0,,,
28.0,,,
29.0,,,
26.0,,,
24.0,,,
27.0,,,
23.0,,,
23.0,,,
25.0,,,
27.0,,,
26.0,,,
19.0,,,
27.0,,,
25.0,,,
26.0,,,
29.0,,,
30.0,,,
28.0,,,
30.0,,,
29.0,,,
25.0,,,
25.0,,,
22.0,,,
29.0,,,
29.0,,,
28.0,,,
29.0,,,
30.0,,,
26.0,,,
22.0,,,
27.0,,,
25.0,,,
21.0,,,
22.0,,,
26.0,,,
24.0,,,
19.0,,,
21.0,,,
23.0,,,
21.0,,,
16.0,,,
21.0,,,
27.0,,,
30.0,,,
25.0,,,
27.0,,,
32.0,,,
33.0,,,
27.0,,,
25.0,,,
24.0,,,
27.0,,,
32.0,,,
30.0,,,
32.0,,,
33.0,,,
30.0,,,
33.0,,,
35.0,,,
29.0,,,
32.0,,,
31.0,,,
30.0,,,
33.0,,,
33.0,,,
37.0,,,
28.0,,,
33.0,,,
34.0,,,
30.0,,,
29.0,,,
26.0,,,
27.0,,,
24.0,,,
24.0,,,
27.0,,,
24.0,,,
24.0,,,
26.0,,,
22.0,,,
23.0,,,
20.0,,,
22.0,,,
27.0,,,
22.0,,,
25.0,,,
21.0,,,
22.0,,,
15.0,,,
16.0,,,
18.0,,,
17.0,,,
17.0,,,
17.0,,,
21.0,,,
19.0,,,
24.0,,,
26.0,,,
28.0,,,
27.0,,,
23.0,,,
23.0,,,
23.0,,,
25.0,,,
16.0,,,
15.0,,,
14.0,,,
14.0,,,
11.0,,,
19.0,,,
8.0,,,
12.0,,,
14.0,,,
14.0,,,
14.0,,,
18.0,,,
21.0,,,
21.0,,,
20.0,,,
19.0,,,
17.0,,,
22.0,,,
23.0,,,
22.0,,,
25.0,,,
21.0,,,
22.0,,,
21.0,,,
28.0,,,
27.0,,,
20.0,,,
18.0,,,
16.0,,,
14.0,,,
17.0,,,
20.0,,,
20.0,,,
16.0,,,
16.0,,,
12.0,,,
15.0,,,
13.0,,,
12.0,,,
15.0,,,
16.0,,,
14.0,,,
16.0,,,
17.0,,,
20.0,,,
20.0,,,
14.0,,,
16.0,,,
24.0,,,
13.0,,,
15.0,,,
11.0,,,
12.0,,,
13.0,,,
18.0,,,
13.0,,,
13.0,,,
15.0,,,
10.0,,,
18.0,,,
15.0,,,
15.0,,,
14.0,,,
13.0,,,
11.0,,,
10.0,,,
12.0,,,
10.0,,,
8.0,,,
13.0,,,
11.0,,,
9.0,,,
10.0,,,
8.0,,,
6.0,,,
6.0,,,
7.0,,,
8.0,,,
5.0,,,
10.0,,,
11.0,,,
7.0,,,
7.0,,,
7.0,,,
6.0,,,
4.0,,,
4.0,,,
7.0,,,
9.0,,,
11.0,,,
8.0,,,
11.0,,,
8.0,,,
9.0,,,
10.0,,,
9.0,,,
12.0,,,
8.0,,,
7.0,,,
8.0,,,
10.0,,,
7.0,,,
4.0,,,
9.0,,,
7.0,,,
6.0,,,
7.0,,,
7.0,,,
8.0,,,
8.0,,,
8.0,,,
11.0,,,
10.0,,,
5.0,,,
7.0,,,
7.0,,,
5.0,,,
5.0,,,
5.0,,,
4.0,,,
7.0,,,
6.0,,,
7.0,,,
4.0,,,
3.0,,,
4.0,,,
4.0,,,
6.0,,,
5.0,,,
6.0,,,
7.0,,,
9.0,,,
11.0,,,
7.0,,,
8.0,,,
9.0,,,
9.0,,,
9.0,,,
10.0,,,
11.0,,,
10.0,,,
10.0,,,
12.0,,,
11.0,,,
10.0,,,
11.0,,,
12.0,,,
11.0,,,
8.0,,,
7.0,,,
11.0,,,
12.0,,,
12.0,,,
10.0,,,
10.0,,,
11.0,,,
10.0,,,
14.0,,,
12.0,,,
9.0,,,
5.0,,,
6.0,,,
8.0,,,
12.0,,,
10.0,,,
10.0,,,
9.0,,,
7.0,,,
7.0,,,
11.0,,,
10.0,,,
10.0,,,
6.0,,,
9.0,,,
9.0,,,
6.0,,,
5.0,,,
6.0,,,
8.0,,,
7.0,,,
7.0,,,
6.0,,,
4.0,,,
5.0,,,
5.0,,,
9.0,,,
7.0,,,
6.0,,,
6.0,,,
6.0,,,
6.0,,,
7.0,,,
4.0,,,
4.0,,,
2.0,,,
3.0,,,
6.0,,,
4.0,,,
1.0,,,
2.0,,,
1.0,,,
3.0,,,
2.0,,,
2.0,,,
3.0,,,
2.0,,,
1.0,,,
1.0,,,
1.0,,,
3.0,,,
3.0,,,
2.0,,,
3.0,,,
2.0,,,
3.0,,,
2.0,,,
3.0,,,
4.0,,,
8.0,,,
4.0,,,
6.0,,,
4.0,,,
5.0,,,
4.0,,,
5.0,,,
3.0,,,
4.0,,,
2.0,,,
2.0,,,
1.0,,,
2.0,,,
3.0,,,
1.0,,,
1.0,,,
2.0,,,
2.0,,,
5.0,,,
4.0,,,
4.0,,,
4.0,,,
1.0,,,
0.0,,,
1.0,,,
2.0,,,
2.0,,,
3.0,,,
5.0,,,
5.0,,,
4.0,,,
4.0,,,
4.0,,,
4.0,,,
3.0,,,
4.0,,,
4.0,,,
5.0,,,
3.0,,,
3.0,,,
3.0,,,
2.0,,,
2.0,,,
3.0,,,
2.0,,,
2.0,,,
1.0,,,
1.0,,,
2.0,,,
2.0,,,
3.0,,,
3.0,,,
2.0,,,
2.0,,,
3.0,,,
3.0,,,
6.0,,,
5.0,,,
4.0,,,
5.0,,,
7.0,,,
2.0,,,
3.0,,,
3.0,,,
2.0,,,
1.0,,,
1.0,,,
2.0,,,
2.0,,,
2.0,,,
1.0,,,
2.0,,,
1.0,,,
2.0,,,
3.0,,,
2.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
0.0,,,
0.0,,,
1.0,,,
1.0,,,
2.0,,,
1.0,,,
1.0,,,
1.0,,,
4.0,,,
4.0,,,
2.0,,,
1.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
3.0,,,
3.0,,,
2.0,,,
3.0,,,
2.0,,,
2.0,,,
2.0,,,
3.0,,,
2.0,,,
5.0,,,
2.0,,,
1.0,,,
1.0,,,
2.0,,,
2.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
0.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
1.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
2.0,,,
1.0,,,
1.0,,,
2.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
0.0,,,
1.0,,,
2.0,,,
1.0,,,
2.0,,,
2.0,,,
1.0,,,
0.0,,,
0.0,,,
1.0,,,
0.0,,,
1.0,,,
2.0,,,
0.0,,,
2.0,,,
1.0,,,
1.0,,,
2.0,,,
1.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
1.0,,,
2.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
1.0,,,
0.0,,,
1.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
1.0,,,
1.0,,,
1.0,,,
1.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
1.0,,,
0.0,,,
1.0,,,
1.0,,,
2.0,,,
2.0,,,
3.0,,,
5.0,,,
3.0,,,
3.0,,,
4.0,,,
5.0,,,
4.0,,,
3.0,,,
6.0,,,
5.0,,,
3.0,,,
3.0,,,
3.0,,,
7.0,,,
7.0,,,
8.0,,,
11.0,,,
13.0,,,
9.0,,,
9.0,,,
9.0,,,
9.0,,,
7.0,,,
7.0,,,
8.0,,,
8.0,,,
12.0,,,
14.0,,,
10.0,,,
10.0,,,
9.0,,,
15.0,,,
10.0,,,
10.0,,,
6.0,,,
8.0,,,
12.0,,,
11.0,,,
11.0,,,
15.0,,,
11.0,,,
12.0,,,
15.0,,,
12.0,,,
13.0,,,
12.0,,,
17.0,,,
16.0,,,
17.0,,,
13.0,,,
9.0,,,
13.0,,,
13.0,,,
15.0,,,
15.0,,,
17.0,,,
20.0,,,
17.0,,,
18.0,,,
20.0,,,
21.0,,,
19.0,,,
22.0,,,
21.0,,,
24.0,,,
25.0,,,
27.0,,,
20.0,,,
20.0,,,
25.0,,,
26.0,,,
25.0,,,
19.0,,,
23.0,,,
22.0,,,
16.0,,,
24.0,,,
18.0,,,
19.0,,,
18.0,,,
21.0,,,
22.0,,,
23.0,,,
22.0,,,
22.0,,,
18.0,,,
19.0,,,
22.0,,,
25.0,,,
24.0,,,
26.0,,,
23.0,,,
23.0,,,
27.0,,,
28.0,,,
30.0,,,
26.0,,,
28.0,,,
26.0,,,
23.0,,,
26.0,,,
27.0,,,
23.0,,,
25.0,,,
19.0,,,
21.0,,,
22.0,,,
20.0,,,
21.0,,,
21.0,,,
20.0,,,
21.0,,,
27.0,,,
20.0,,,
20.0,,,
18.0,,,
17.0,,,
13.0,,,
18.0,,,
14.0,,,
19.0,,,
22.0,,,
21.0,,,
19.0,,,
24.0,,,
20.0,,,
22.0,,,
15.0,,,
18.0,,,
18.0,,,
20.0,,,
18.0,,,
